2025-12-03 23:24:29.790 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:34.855 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:39.915 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:44.999 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:50.103 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:24:55.237 [warning] [Decorations] CAPPING events from decorations provider vscode.git 302
2025-12-03 23:25:00.336 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:25:05.426 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:25:10.495 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:25:15.587 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:25:20.648 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:25:25.773 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:25:30.883 [warning] [Decorations] CAPPING events from decorations provider vscode.git 303
2025-12-03 23:25:35.995 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:25:41.111 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:25:46.200 [warning] [Decorations] CAPPING events from decorations provider vscode.git 304
2025-12-03 23:25:51.257 [warning] [Decorations] CAPPING events from decorations provider vscode.git 304
2025-12-03 23:25:56.322 [warning] [Decorations] CAPPING events from decorations provider vscode.git 304
2025-12-03 23:26:01.617 [warning] [Decorations] CAPPING events from decorations provider vscode.git 304
2025-12-03 23:26:06.737 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:11.801 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:16.898 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:22.069 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:27.167 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:32.237 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:37.319 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:42.385 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:47.443 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:52.662 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:26:57.751 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:02.799 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:07.857 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:12.915 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:17.999 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:23.100 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:28.162 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:33.279 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:38.365 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:43.416 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:48.487 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:53.629 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:27:58.690 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:28:03.751 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:28:08.804 [warning] [Decorations] CAPPING events from decorations provider vscode.git 305
2025-12-03 23:28:13.867 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:28:18.969 [warning] [Decorations] CAPPING events from decorations provider vscode.git 307
2025-12-03 23:28:19.845 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:28:24.065 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:28:29.119 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:28:34.182 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:28:39.288 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:28:44.406 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
2025-12-03 23:28:49.511 [warning] [Decorations] CAPPING events from decorations provider vscode.git 306
